plot_id,vt_section,plot,taxon_code,raunkiaer_value
52.06,52,6,,
52.07,52,7,,
52.08,52,8,,
52.09,52,9,,
52.10,52,10,,
53.01,53,1,,
53.02,53,2,,
53.03,53,3,,
54.01,54,1,,
54.02,54,2,,
54.03,54,3,,
54.04,54,4,,
54.05,54,5,,
55.01,55,1,,
55.02,55,2,,
55.03,55,3,,
55.04,55,4,,
55.05,55,5,,
55.06,55,6,,
55.07,55,7,,
55.08,55,8,,
55.09,55,9,,
55.10,55,10,,
56.01,56,1,,
56.02,56,2,,
56.03,56,3,,
56.04,56,4,,
57.01,57,1,,
57.02,57,2,,
57.03,57,3,,
57.04,57,4,,
57.05,57,5,,
57.06,57,6,,
57.07,57,7,,
57.08,57,8,,
57.09,57,9,,
57.10,57,10,,
59.01,59,1,,
59.02,59,2,,
59.03,59,3,,
59.04,59,4,,
59.05,59,5,,
59.06,59,6,,
59.07,59,7,,
59.08,59,8,,
59.09,59,9,,
59.10,59,10,,
60.01,60,1,,
60.02,60,2,,
60.03,60,3,,
60.04,60,4,,
60.05,60,5,,
60.06,60,6,,
61.01,61,1,,
61.02,61,2,,
61.03,61,3,,
61.04,61,4,,
61.05,61,5,,
61.06,61,6,,
61.07,61,7,,
62.01,62,1,,
62.02,62,2,,
62.03,62,3,,
62.04,62,4,,
62.05,62,5,,
62.06,62,6,,
62.07,62,7,,
62.08,62,8,,
62.09,62,9,,
62.10,62,10,,
63.01,63,1,,
63.02,63,2,,
63.03,63,3,,
63.04,63,4,,
64.01,64,1,,
64.02,64,2,,
64.03,64,3,,
64.04,64,4,,
64.05,64,5,,
64.06,64,6,,
64.07,64,7,,
64.08,64,8,,
64.09,64,9,,
64.10,64,10,,
65.01,65,1,,
65.02,65,2,,
65.03,65,3,,
65.04,65,4,,
65.05,65,5,,
65.06,65,6,,
65.07,65,7,,
65.08,65,8,,
65.09,65,9,,
65.10,65,10,,
66.01,66,1,,
66.02,66,2,,
66.03,66,3,,
66.04,66,4,,
66.05,66,5,,
66.06,66,6,,
66.07,66,7,,
66.08,66,8,,
66.09,66,9,,
66.10,66,10,,
67.01,67,1,,
67.02,67,2,,
67.03,67,3,,
67.04,67,4,,
67.05,67,5,,
67.06,67,6,,
67.07,67,7,,
67.08,67,8,,
67.09,67,9,,
67.10,67,10,,
68.01,68,1,,
68.02,68,2,,
68.03,68,3,,
68.04,68,4,,
68.05,68,5,,
68.06,68,6,,
68.07,68,7,,
68.08,68,8,,
68.09,68,9,,
68.10,68,10,,
69.01,69,1,,
69.02,69,2,,
69.03,69,3,,
69.04,69,4,,
69.05,69,5,,
69.06,69,6,,
69.07,69,7,,
69.08,69,8,,
69.09,69,9,,
69.10,69,10,,
70.01,70,1,,
70.02,70,2,,
70.03,70,3,,
70.04,70,4,,
70.05,70,5,,
70.06,70,6,,
71.01,71,1,,
71.02,71,2,,
71.03,71,3,,
71.04,71,4,,
71.05,71,5,,
71.06,71,6,,
71.07,71,7,,
71.08,71,8,,
71.09,71,9,,
71.10,71,10,,
72.01,72,1,,
72.02,72,2,,
72.03,72,3,,
72.04,72,4,,
72.05,72,5,,
72.06,72,6,,
72.07,72,7,,
73.01,73,1,,
73.02,73,2,,
73.03,73,3,,
73.04,73,4,,
73.05,73,5,,
73.06,73,6,,
73.07,73,7,,
73.08,73,8,,
73.09,73,9,,
73.10,73,10,,
74.01,74,1,,
74.02,74,2,,
74.03,74,3,,
74.04,74,4,,
74.05,74,5,,
74.06,74,6,,
76.01,76,1,,
76.02,76,2,,
76.03,76,3,,
76.04,76,4,,
76.05,76,5,,
76.06,76,6,,
76.07,76,7,,
76.08,76,8,,
76.09,76,9,,
76.10,76,10,,
77.01,77,1,,
77.02,77,2,,
77.03,77,3,,
77.04,77,4,,
77.05,77,5,,
77.06,77,6,,
77.07,77,7,,
77.08,77,8,,
77.09,77,9,,
77.10,77,10,,
78.01,78,1,,
78.02,78,2,,
78.03,78,3,,
78.04,78,4,,
78.05,78,5,,
78.06,78,6,,
78.07,78,7,,
78.08,78,8,,
78.09,78,9,,
78.10,78,10,,
79.01,79,1,,
79.02,79,2,,
79.03,79,3,,
79.04,79,4,,
79.05,79,5,,
79.06,79,6,,
79.07,79,7,,
79.08,79,8,,
79.09,79,9,,
79.10,79,10,,
81.01,81,1,,
81.02,81,2,,
81.03,81,3,,
81.04,81,4,,
81.05,81,5,,
81.06,81,6,,
81.07,81,7,,
81.08,81,8,,
81.09,81,9,,
81.10,81,10,,
83.01,83,1,,
83.02,83,2,,
83.03,83,3,,
83.04,83,4,,
83.05,83,5,,
83.06,83,6,,
83.07,83,7,,
83.08,83,8,,
83.09,83,9,,
83.10,83,10,,
100.01,100,1,,
100.02,100,2,,
100.03,100,3,,
100.04,100,4,,
100.05,100,5,,
100.06,100,6,,
100.07,100,7,,
100.08,100,8,,
100.09,100,9,,
100.10,100,10,,
101.01,101,1,,
101.02,101,2,,
101.03,101,3,,
101.04,101,4,,
101.05,101,5,,
101.06,101,6,,
101.07,101,7,,
103.01,103,1,,
103.02,103,2,,
103.03,103,3,,
103.04,103,4,,
103.05,103,5,,
103.06,103,6,,
103.07,103,7,,
103.08,103,8,,
103.09,103,9,,
103.10,103,10,,
104.01,104,1,,
104.02,104,2,,
104.03,104,3,,
104.04,104,4,,
104.05,104,5,,
104.06,104,6,,
104.07,104,7,,
104.08,104,8,,
105.01,105,1,,
105.02,105,2,,
105.03,105,3,,
105.04,105,4,,
105.05,105,5,,
105.06,105,6,,
105.07,105,7,,
105.08,105,8,,
105.09,105,9,,
105.10,105,10,,
106.01,106,1,,
106.02,106,2,,
106.03,106,3,,
106.04,106,4,,
106.05,106,5,,
106.06,106,6,,
106.07,106,7,,
106.08,106,8,,
106.09,106,9,,
106.10,106,10,,
200.01,200,1,,
200.02,200,2,,
200.03,200,3,,
200.04,200,4,,
200.05,200,5,,
200.06,200,6,,
200.07,200,7,,
200.08,200,8,,
200.09,200,9,,
200.10,200,10,,
200.11,200,11,,
200.12,200,12,,
200.13,200,13,,
200.14,200,14,,
200.15,200,15,,
200.16,200,16,,
200.17,200,17,,
200.18,200,18,,
200.19,200,19,,
200.20,200,20,,
3.01,3,1,,
3.02,3,2,,
3.03,3,3,,
3.04,3,4,,
3.05,3,5,,
3.06,3,6,,
3.07,3,7,,
3.08,3,8,,
3.09,3,9,,
3.10,3,10,,
4.01,4,1,,
4.02,4,2,,
4.03,4,3,,
4.04,4,4,,
4.05,4,5,,
4.06,4,6,,
4.07,4,7,,
4.08,4,8,,
4.09,4,9,,
4.10,4,10,,
5.01,5,1,,
5.02,5,2,,
5.03,5,3,,
5.04,5,4,,
5.05,5,5,,
5.06,5,6,,
5.07,5,7,,
5.08,5,8,,
5.09,5,9,,
5.10,5,10,,
6.01,6,1,,
6.02,6,2,,
6.03,6,3,,
6.04,6,4,,
6.05,6,5,,
6.06,6,6,,
6.07,6,7,,
6.08,6,8,,
7.01,7,1,,
7.02,7,2,,
7.03,7,3,,
7.04,7,4,,
7.05,7,5,,
7.06,7,6,,
7.07,7,7,,
7.08,7,8,,
7.09,7,9,,
7.10,7,10,,
8.01,8,1,,
8.02,8,2,,
8.03,8,3,,
8.04,8,4,,
8.05,8,5,,
8.06,8,6,,
8.07,8,7,,
8.08,8,8,,
8.09,8,9,,
8.10,8,10,,
9.01,9,1,,
9.02,9,2,,
9.03,9,3,,
9.04,9,4,,
9.05,9,5,,
9.06,9,6,,
9.07,9,7,,
9.08,9,8,,
9.09,9,9,,
9.10,9,10,,
10.01,10,1,,
10.02,10,2,,
10.03,10,3,,
10.04,10,4,,
10.05,10,5,,
10.06,10,6,,
10.07,10,7,,
10.08,10,8,,
10.09,10,9,,
10.10,10,10,,
12.01,12,1,,
12.02,12,2,,
12.03,12,3,,
12.04,12,4,,
12.05,12,5,,
12.06,12,6,,
12.07,12,7,,
12.08,12,8,,
12.09,12,9,,
12.10,12,10,,
13.01,13,1,,
13.02,13,2,,
13.03,13,3,,
13.04,13,4,,
13.05,13,5,,
13.06,13,6,,
13.07,13,7,,
13.08,13,8,,
13.09,13,9,,
13.10,13,10,,
15.01,15,1,,
15.02,15,2,,
15.03,15,3,,
15.04,15,4,,
15.05,15,5,,
15.06,15,6,,
15.07,15,7,,
15.08,15,8,,
15.09,15,9,,
15.10,15,10,,
17.01,17,1,,
17.02,17,2,,
17.03,17,3,,
17.04,17,4,,
17.05,17,5,,
17.06,17,6,,
17.07,17,7,,
17.08,17,8,,
17.09,17,9,,
17.10,17,10,,
19.01,19,1,,
19.02,19,2,,
19.03,19,3,,
20.01,20,1,,
20.02,20,2,,
20.03,20,3,,
20.04,20,4,,
20.05,20,5,,
20.06,20,6,,
20.07,20,7,,
20.08,20,8,,
20.09,20,9,,
20.10,20,10,,
21.01,21,1,,
21.02,21,2,,
21.03,21,3,,
21.04,21,4,,
21.05,21,5,,
21.06,21,6,,
21.07,21,7,,
21.08,21,8,,
21.09,21,9,,
21.10,21,10,,
22.01,22,1,,
22.02,22,2,,
22.03,22,3,,
22.04,22,4,,
22.05,22,5,,
22.06,22,6,,
22.07,22,7,,
22.08,22,8,,
22.09,22,9,,
22.10,22,10,,
23.01,23,1,,
23.02,23,2,,
23.03,23,3,,
23.04,23,4,,
23.05,23,5,,
23.06,23,6,,
23.07,23,7,,
23.08,23,8,,
23.09,23,9,,
23.10,23,10,,
25.01,25,1,,
25.02,25,2,,
25.03,25,3,,
25.04,25,4,,
25.05,25,5,,
25.06,25,6,,
25.07,25,7,,
25.08,25,8,,
25.09,25,9,,
25.10,25,10,,
26.01,26,1,,
26.02,26,2,,
26.03,26,3,,
26.04,26,4,,
26.05,26,5,,
26.06,26,6,,
27.01,27,1,,
27.02,27,2,,
27.03,27,3,,
27.04,27,4,,
27.05,27,5,,
27.06,27,6,,
27.07,27,7,,
27.08,27,8,,
27.09,27,9,,
27.10,27,10,,
28.01,28,1,,
28.02,28,2,,
28.03,28,3,,
28.04,28,4,,
28.05,28,5,,
28.06,28,6,,
28.07,28,7,,
29.01,29,1,,
29.02,29,2,,
29.03,29,3,,
29.04,29,4,,
29.05,29,5,,
29.06,29,6,,
29.07,29,7,,
29.09,29,9,,
31.01,31,1,,
31.02,31,2,,
31.03,31,3,,
31.04,31,4,,
31.05,31,5,,
31.06,31,6,,
31.07,31,7,,
31.08,31,8,,
31.09,31,9,,
31.10,31,10,,
33.01,33,1,,
33.02,33,2,,
33.03,33,3,,
33.04,33,4,,
33.05,33,5,,
33.06,33,6,,
33.07,33,7,,
33.08,33,8,,
33.09,33,9,,
33.10,33,10,,
34.01,34,1,,
34.02,34,2,,
34.03,34,3,,
34.04,34,4,,
34.05,34,5,,
34.06,34,6,,
34.07,34,7,,
34.08,34,8,,
34.09,34,9,,
35.01,35,1,,
35.02,35,2,,
35.03,35,3,,
35.04,35,4,,
35.05,35,5,,
35.06,35,6,,
35.07,35,7,,
35.08,35,8,,
35.09,35,9,,
35.10,35,10,,
36.01,36,1,,
36.02,36,2,,
36.03,36,3,,
36.04,36,4,,
37.01,37,1,,
37.02,37,2,,
37.03,37,3,,
37.04,37,4,,
38.01,38,1,,
38.02,38,2,,
38.03,38,3,,
39.01,39,1,,
39.02,39,2,,
39.03,39,3,,
39.04,39,4,,
39.05,39,5,,
39.06,39,6,,
39.07,39,7,,
39.08,39,8,,
39.09,39,9,,
39.10,39,10,,
41.01,41,1,,
41.02,41,2,,
41.03,41,3,,
41.04,41,4,,
41.05,41,5,,
41.06,41,6,,
41.07,41,7,,
41.08,41,8,,
41.09,41,9,,
41.10,41,10,,
43.01,43,1,,
43.02,43,2,,
43.03,43,3,,
43.04,43,4,,
43.05,43,5,,
43.06,43,6,,
43.07,43,7,,
43.08,43,8,,
43.09,43,9,,
43.10,43,10,,
44.01,44,1,,
44.02,44,2,,
44.03,44,3,,
44.04,44,4,,
44.05,44,5,,
44.06,44,6,,
44.07,44,7,,
44.08,44,8,,
44.09,44,9,,
44.10,44,10,,
46.01,46,1,,
46.02,46,2,,
46.03,46,3,,
46.04,46,4,,
46.05,46,5,,
46.06,46,6,,
46.07,46,7,,
46.08,46,8,,
46.09,46,9,,
46.10,46,10,,
47.01,47,1,,
47.02,47,2,,
47.03,47,3,,
47.04,47,4,,
47.05,47,5,,
47.06,47,6,,
47.07,47,7,,
47.08,47,8,,
47.09,47,9,,
47.10,47,10,,
48.01,48,1,,
48.02,48,2,,
48.03,48,3,,
48.04,48,4,,
48.05,48,5,,
48.06,48,6,,
48.07,48,7,,
48.08,48,8,,
48.09,48,9,,
48.10,48,10,,
49.01,49,1,,
49.02,49,2,,
49.03,49,3,,
49.04,49,4,,
50.01,50,1,,
50.02,50,2,,
50.03,50,3,,
50.04,50,4,,
50.05,50,5,,
50.06,50,6,,
50.07,50,7,,
50.08,50,8,,
50.09,50,9,,
50.10,50,10,,
51.01,51,1,,
51.02,51,2,,
51.03,51,3,,
51.04,51,4,,
52.01,52,1,,
52.02,52,2,,
52.03,52,3,,
52.04,52,4,,
52.05,52,5,,
52.06,52,6,,
52.07,52,7,,
52.08,52,8,,
52.09,52,9,,
52.10,52,10,,
53.01,53,1,,
53.02,53,2,,
53.03,53,3,,
54.01,54,1,,
54.02,54,2,,
54.03,54,3,,
54.04,54,4,,
54.05,54,5,,
55.01,55,1,,
55.02,55,2,,
55.03,55,3,,
55.04,55,4,,
55.05,55,5,,
55.06,55,6,,
55.07,55,7,,
55.08,55,8,,
55.09,55,9,,
55.10,55,10,,
56.01,56,1,,
56.02,56,2,,
56.03,56,3,,
56.04,56,4,,
57.01,57,1,,
57.02,57,2,,
57.03,57,3,,
57.04,57,4,,
57.05,57,5,,
57.06,57,6,,
57.07,57,7,,
57.08,57,8,,
57.09,57,9,,
57.10,57,10,,
59.01,59,1,,
59.02,59,2,,
59.03,59,3,,
59.04,59,4,,
59.05,59,5,,
59.06,59,6,,
59.07,59,7,,
59.08,59,8,,
59.09,59,9,,
59.10,59,10,,
60.01,60,1,,
60.02,60,2,,
60.03,60,3,,
60.04,60,4,,
60.05,60,5,,
60.06,60,6,,
61.01,61,1,,
61.02,61,2,,
61.03,61,3,,
61.04,61,4,,
61.05,61,5,,
61.06,61,6,,
61.07,61,7,,
62.01,62,1,,
62.02,62,2,,
62.03,62,3,,
62.04,62,4,,
62.05,62,5,,
62.06,62,6,,
62.07,62,7,,
62.08,62,8,,
62.09,62,9,,
62.10,62,10,,
63.01,63,1,,
63.02,63,2,,
63.03,63,3,,
63.04,63,4,,
64.01,64,1,,
64.02,64,2,,
64.03,64,3,,
64.04,64,4,,
64.05,64,5,,
64.06,64,6,,
64.07,64,7,,
64.08,64,8,,
64.09,64,9,,
64.10,64,10,,
65.01,65,1,,
65.02,65,2,,
65.03,65,3,,
65.04,65,4,,
65.05,65,5,,
65.06,65,6,,
65.07,65,7,,
65.08,65,8,,
65.09,65,9,,
65.10,65,10,,
66.01,66,1,,
66.02,66,2,,
66.03,66,3,,
66.04,66,4,,
66.05,66,5,,
66.06,66,6,,
66.07,66,7,,
66.08,66,8,,
66.09,66,9,,
66.10,66,10,,
67.01,67,1,,
67.02,67,2,,
67.03,67,3,,
67.04,67,4,,
67.05,67,5,,
67.06,67,6,,
67.07,67,7,,
67.08,67,8,,
67.09,67,9,,
67.10,67,10,,
68.01,68,1,,
68.02,68,2,,
68.03,68,3,,
68.04,68,4,,
68.05,68,5,,
68.06,68,6,,
68.07,68,7,,
68.08,68,8,,
68.09,68,9,,
68.10,68,10,,
69.01,69,1,,
69.02,69,2,,
69.03,69,3,,
69.04,69,4,,
69.05,69,5,,
69.06,69,6,,
69.07,69,7,,
69.08,69,8,,
69.09,69,9,,
69.10,69,10,,
70.01,70,1,,
70.02,70,2,,
70.03,70,3,,
70.04,70,4,,
70.05,70,5,,
70.06,70,6,,
71.01,71,1,,
71.02,71,2,,
71.03,71,3,,
71.04,71,4,,
71.05,71,5,,
71.06,71,6,,
71.07,71,7,,
71.08,71,8,,
71.09,71,9,,
71.10,71,10,,
72.01,72,1,,
72.02,72,2,,
72.03,72,3,,
72.04,72,4,,
72.05,72,5,,
72.06,72,6,,
72.07,72,7,,
73.01,73,1,,
73.02,73,2,,
73.03,73,3,,
73.04,73,4,,
73.05,73,5,,
73.06,73,6,,
73.07,73,7,,
73.08,73,8,,
73.09,73,9,,
73.10,73,10,,
74.01,74,1,,
74.02,74,2,,
74.03,74,3,,
74.04,74,4,,
74.05,74,5,,
74.06,74,6,,
76.01,76,1,,
76.02,76,2,,
76.03,76,3,,
76.04,76,4,,
76.05,76,5,,
76.06,76,6,,
76.07,76,7,,
76.08,76,8,,
76.09,76,9,,
76.10,76,10,,
77.01,77,1,,
77.02,77,2,,
77.03,77,3,,
77.04,77,4,,
77.05,77,5,,
77.06,77,6,,
77.07,77,7,,
77.08,77,8,,
77.09,77,9,,
77.10,77,10,,
78.01,78,1,,
78.02,78,2,,
78.03,78,3,,
78.04,78,4,,
78.05,78,5,,
78.06,78,6,,
78.07,78,7,,
78.08,78,8,,
78.09,78,9,,
78.10,78,10,,
79.01,79,1,,
79.02,79,2,,
79.03,79,3,,
79.04,79,4,,
79.05,79,5,,
79.06,79,6,,
79.07,79,7,,
79.08,79,8,,
79.09,79,9,,
79.10,79,10,,
81.01,81,1,,
81.02,81,2,,
81.03,81,3,,
81.04,81,4,,
81.05,81,5,,
81.06,81,6,,
81.07,81,7,,
81.08,81,8,,
81.09,81,9,,
81.10,81,10,,
83.01,83,1,,
83.02,83,2,,
83.03,83,3,,
83.04,83,4,,
83.05,83,5,,
83.06,83,6,,
83.07,83,7,,
83.08,83,8,,
83.09,83,9,,
83.10,83,10,,
100.01,100,1,,
100.02,100,2,,
100.03,100,3,,
100.04,100,4,,
100.05,100,5,,
100.06,100,6,,
100.07,100,7,,
100.08,100,8,,
100.09,100,9,,
100.10,100,10,,
101.01,101,1,,
101.02,101,2,,
101.03,101,3,,
101.04,101,4,,
101.05,101,5,,
101.06,101,6,,
101.07,101,7,,
103.01,103,1,,
103.02,103,2,,
103.03,103,3,,
103.04,103,4,,
103.05,103,5,,
103.06,103,6,,
103.07,103,7,,
103.08,103,8,,
103.09,103,9,,
103.10,103,10,,
104.01,104,1,,
104.02,104,2,,
104.03,104,3,,
104.04,104,4,,
104.05,104,5,,
104.06,104,6,,
104.07,104,7,,
104.08,104,8,,
105.01,105,1,,
105.02,105,2,,
105.03,105,3,,
105.04,105,4,,
105.05,105,5,,
105.06,105,6,,
105.07,105,7,,
105.08,105,8,,
105.09,105,9,,
105.10,105,10,,
106.01,106,1,,
106.02,106,2,,
106.03,106,3,,
106.04,106,4,,
106.05,106,5,,
106.06,106,6,,
106.07,106,7,,
106.08,106,8,,
106.09,106,9,,
106.10,106,10,,
200.01,200,1,,
200.02,200,2,,
200.03,200,3,,
200.04,200,4,,
200.05,200,5,,
200.06,200,6,,
200.07,200,7,,
200.08,200,8,,
200.09,200,9,,
200.10,200,10,,
200.11,200,11,,
200.12,200,12,,
200.13,200,13,,
200.14,200,14,,
200.15,200,15,,
200.16,200,16,,
200.17,200,17,,
200.18,200,18,,
200.19,200,19,,
200.20,200,20,,
3.01,3,1,,
3.02,3,2,,
3.03,3,3,,
3.04,3,4,,
3.05,3,5,,
3.06,3,6,,
3.07,3,7,,
3.08,3,8,,
3.09,3,9,,
3.10,3,10,,
4.01,4,1,,
4.02,4,2,,
4.03,4,3,,
4.04,4,4,,
4.05,4,5,,
4.06,4,6,,
4.07,4,7,,
4.08,4,8,,
4.09,4,9,,
4.10,4,10,,
5.01,5,1,,
5.02,5,2,,
5.03,5,3,,
5.04,5,4,,
5.05,5,5,,
5.06,5,6,,
5.07,5,7,,
5.08,5,8,,
5.09,5,9,,
5.10,5,10,,
6.01,6,1,,
6.02,6,2,,
6.03,6,3,,
6.04,6,4,,
6.05,6,5,,
6.06,6,6,,
6.07,6,7,,
6.08,6,8,,
7.01,7,1,,
7.02,7,2,,
7.03,7,3,,
7.04,7,4,,
7.05,7,5,,
7.06,7,6,,
7.07,7,7,,
7.08,7,8,,
7.09,7,9,,
7.10,7,10,,
8.01,8,1,,
8.02,8,2,,
8.03,8,3,,
8.04,8,4,,
8.05,8,5,,
8.06,8,6,,
8.07,8,7,,
8.08,8,8,,
8.09,8,9,,
8.10,8,10,,
9.01,9,1,,
9.02,9,2,,
9.03,9,3,,
9.04,9,4,,
9.05,9,5,,
9.06,9,6,,
9.07,9,7,,
9.08,9,8,,
9.09,9,9,,
9.10,9,10,,
10.01,10,1,,
10.02,10,2,,
10.03,10,3,,
10.04,10,4,,
10.05,10,5,,
10.06,10,6,,
10.07,10,7,,
10.08,10,8,,
10.09,10,9,,
10.10,10,10,,
12.01,12,1,,
12.02,12,2,,
12.03,12,3,,
12.04,12,4,,
12.05,12,5,,
12.06,12,6,,
12.07,12,7,,
12.08,12,8,,
12.09,12,9,,
12.10,12,10,,
13.01,13,1,,
13.02,13,2,,
13.03,13,3,,
13.04,13,4,,
13.05,13,5,,
13.06,13,6,,
13.07,13,7,,
13.08,13,8,,
13.09,13,9,,
13.10,13,10,,
15.01,15,1,,
15.02,15,2,,
15.03,15,3,,
15.04,15,4,,
15.05,15,5,,
15.06,15,6,,
15.07,15,7,,
15.08,15,8,,
15.09,15,9,,
15.10,15,10,,
17.01,17,1,,
17.02,17,2,,
17.03,17,3,,
17.04,17,4,,
17.05,17,5,,
17.06,17,6,,
17.07,17,7,,
17.08,17,8,,
17.09,17,9,,
17.10,17,10,,
19.01,19,1,,
19.02,19,2,,
19.03,19,3,,
20.01,20,1,,
20.02,20,2,,
